Model,Accuracy,F1 Score (W),Precision (W),Recall (W),Type
Logistic Regression,0.6153846153846154,0.5159157389373217,0.5608274078862314,0.6153846153846154,Baseline
Naive Bayes,0.5604395604395604,0.5014434384513123,0.4705173955778307,0.5604395604395604,Baseline
Linear SVM,0.5714285714285714,0.5141628557777627,0.4801908617698091,0.5714285714285714,Baseline
XLM-RoBERTa,0.5934065934065934,0.4419856006062903,0.352131385098418,0.5934065934065934,Transformer
AfriBERTa,0.6373626373626373,0.5678948003991382,0.5733759910975101,0.6373626373626373,Transformer
