Model,Accuracy,F1 Score (W),Precision (W),Recall (W)
Logistic Regression,0.6153846153846154,0.5159157389373217,0.5608274078862314,0.6153846153846154
Naive Bayes,0.5604395604395604,0.5014434384513123,0.47051739557783073,0.5604395604395604
Linear SVM,0.5714285714285714,0.5141628557777627,0.48019086176980913,0.5714285714285714
