Model,Accuracy,F1 Score (W),Precision (W),Recall (W)
XLM-RoBERTa,0.5934065934065934,0.4419856006062903,0.35213138509841807,0.5934065934065934
AfriBERTa,0.6373626373626373,0.5678948003991382,0.5733759910975101,0.6373626373626373
